latitude,longitude,fid (int),XTRID (string),BAUART (string),BAUJAHR (string),BAULEITER (string),BEMERKUNG (string),BETREIBER (string),BETRIEBSFÜ (string),DARSTELLUN (int),DREHMOMENT (float),EIGENTÜMER (string),EINBAUJAHR (string),ENTLÜFTUNG (string),FABRIKATTY (string),FUNKTIONSP (string),GSP_TYP (string),GANGZAHL (float),GEMEINDENA (string),GEMEINDESC (string),HAUSNUMMER (string),HERSTELLER (string),HINWEISSCH (string),ID (float),LAGE_DES_H (string),LAGE_ZUR_L (string),LEISTUNG (float),LEITUNGSFU (string),LOGISCHE_I (string),MATERIAL (string),MAX__BAUTE (string),MAX__SYSTE (string),MESSUNGSAR (string),MONTEUR (string),NENNDRUCK_ (string),NENNWEITE_ (string),NENNWEITE1 (float),NENNWEITE2 (float),NENNWEITE3 (string),NENNWEITE4 (string),NENNWEITE5 (string),NENNWEITE6 (float),NENNWEITE7 (float),NETZBETREI (string),NETZZUGEHÖ (string),NUMMERIERU (string),ORTSTEILNA (string),ORTSTEILSC (string),PRÜFDRUCK_ (string),PRÜFTURNUS (string),PÄCHTER (string),ROHRKENNZA (string),ROHRVERLEG (string),SAP_ID (string),SCHLIEßRIC (string),SCHLÜSSELB (string),SICHERUNGS (string),SKIZZE_POI (float),SONDERFUNK (string),SPÜLTRUPP (string),STATUS (string),STATUS_SEI (string),STRAßENNAM (string),STRAßENSCH (string),SUBCODE (float),SYSTEMBETR (string),TN_PRÜFUNG (string),TN_STATUS (float),TEXT_ID (float),TIEFBAUFIR (string),VERBINDUNG (string),VORSCHIEBE (string),GS_ID (float),RWO_ID (string),ÜBERGANG_A (string)
47.9630551498844,7.98033771170604,250,9203693,Unterflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22886 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,46,,,9203693,,Hydrantenleitung,0,Hydrantenleitung,ID-9203693,,,,,,,,0,0,,unbekannt,125,125,0,,VW,EWK Kirchzarten,,,,,,,,100548721,rechts,340,,833846,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Höllentalstraße,0831506422886,0,,BP: OK ÜP: OK,0,2154430,,,nein,0,1780442-329124821-9203696,
47.961460118904,7.97731209770699,251,9290696,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22884 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,9,,,9290696,,unbekannt,0,Versorgungsleitung,ID-9290696,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548766,,324,,835507,Abgesetzter Hydrant > 4 m,,in Betrieb,,Gütleackerstraße,0831506422846,1,,BP: OK ÜP: OK,0,2154477,,,nein,0,1780442-461983493-9290699,
47.9602090687715,7.98104544428274,252,9288121,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22884 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,106,,,9288121,,auf dem Rohr,0,Hydrantenleitung,ID-9288121,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548754,,318,,835254,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Höfener Straße,0831506422884,1,,BP: OK ÜP: OK,0,2154464,,,nein,0,1780442-408795449-9288124,
47.9577777745413,7.97987690295686,253,9288130,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22884 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,7a,,,9288130,,auf dem Rohr,0,Hydrantenleitung,ID-9288130,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548755,,320,,835255,Abgesetzter Hydrant > 4 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154465,,,nein,0,1780442-432420206-9288133,
47.959478792893,7.97252689134111,254,9231562,Unterflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 9622 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,82,,,9231562,,auf dem Rohr,0,Versorgungsleitung,ID-9231562,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548750,,556,,835180,Hydrant auf Leitung,,in Betrieb,,Höfener Straße,0831506422884,0,,BP: OK ÜP: OK,0,2154460,,,nein,0,1780441-661301722-9231565,
47.9605622254525,7.97543566339675,255,9205853,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22888 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,4,,,9205853,,auf dem Rohr,0,Hydrantenleitung,ID-9205853,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548726,,282,,834126,Abgesetzter Hydrant > 4 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154436,,,nein,0,1780442-454573419-9205856,
47.9596104511664,7.97555639633824,256,9205694,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22888 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,FN148,,,9205694,,auf dem Rohr,0,Hydrantenleitung,ID-9205694,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548725,,284,,834104,Abgesetzter Hydrant > 4 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154435,,,nein,0,1780442-467543299-9205697,
47.9579102054594,7.97564333719385,257,9290017,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22888 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,22a,,,9290017,,auf dem Rohr,0,Hydrantenleitung,ID-9290017,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548765,,286,,835420,Abgesetzter Hydrant bis 1 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154476,,,nein,0,1780442-471449938-9290020,
47.9574534847266,7.97458731532393,258,9289710,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22888 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,24a,,,9289710,,auf dem Rohr,0,Hydrantenleitung,ID-9289710,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548763,,288,,835387,Abgesetzter Hydrant bis 1 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154474,,,nein,0,1780442-483715209-9289713,
47.9560852384287,7.97367649517735,259,9289739,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22888 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,25,,,9289739,,auf dem Rohr,0,Versorgungsleitung,ID-9289739,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548764,,290,,835390,Endhydrant > 4 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154475,,,nein,0,1780442-485026741-9289742,
47.9565794066697,7.9755956797747,260,9289561,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22868 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,12,,,9289561,,auf dem Rohr,0,Hydrantenleitung,ID-9289561,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548762,,250,,835375,Abgesetzter Hydrant > 4 m,,in Betrieb,,Am Kohlbach,0831506422723,1,,BP: OK ÜP: OK,0,2154473,,,nein,0,1780442-477077241-9289564,
47.9564399899719,7.97425175820352,261,9205103,Unterflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22723 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,4,,,9205103,,auf dem Rohr,0,Versorgungsleitung,ID-9205103,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548724,,056,,834024,Hydrant auf Leitung,,in Betrieb,,Am Kohlbach,0831506422723,0,,BP: OK ÜP: OK,0,2154434,,,nein,0,1780442-485305991-9205106,
47.9550894496954,7.9755487194901,262,9289457,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22868 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,21,,,9289457,,auf dem Rohr,0,Hydrantenleitung,ID-9289457,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548761,,252,,835363,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Hanselhofstraße,0831506422868,1,,BP: OK ÜP: OK,0,2154472,,,nein,0,1780442-478483374-9289460,
47.9549773253861,7.9744399673682,263,9289369,Überflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22868 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,25,,,9289369,,auf dem Rohr,0,Hydrantenleitung,ID-9289369,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548760,,254,,835353,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Hohlgasse,0831506422888,1,,BP: OK ÜP: OK,0,2154471,,,nein,0,1780442-485912069-9289372,
47.9628894282314,7.95692542595802,264,8276787,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22812 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,18,,,8276787,,auf dem Rohr,0,Versorgungsleitung,ID-8276787,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548193,rechts,194,,749573,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Feldbergstraße,0831506422812,0,,BP: OK ÜP: OK,0,2153808,,,ja,0,1780441-582964533-8276790,
47.9628563885037,7.95725918885635,265,8276740,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22812 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,25,,,8276740,,auf dem Rohr,0,Versorgungsleitung,ID-8276740,,,,,,,,200,0,,200,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548192,rechts,192,,749568,Hydrant auf Leitung,,in Betrieb,,Feldbergstraße,0831506422812,0,,BP: OK ÜP: OK,0,2153807,,,nein,0,1780441-582949781-8276743,
47.9624437058356,7.95655594560677,266,8274486,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22890 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,11,,,8274486,,auf dem Rohr,0,Versorgungsleitung,ID-8274486,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548189,rechts,294,,787587,Hydrant auf Leitung,,in Betrieb,,Holzeckstraße,0831506422890,0,,BP: OK ÜP: OK,0,2153804,,,nein,0,1780441-582712474-8274489,
47.9631098149747,7.95584171474848,267,8277121,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22812 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,8,,,8277121,,auf dem Rohr,0,Versorgungsleitung,ID-8277121,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548194,rechts,190,,749618,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Feldbergstraße,0831506422812,0,,BP: OK ÜP: OK,0,2153809,,,ja,0,1780441-582543559-8277124,
47.9616537083159,7.95754485677539,268,23779282,Unterflurhydrant,,,,,,0,0,,1999/01/01,,,,,0,Kirchzarten,08315064,13,,,23779282,im Straßenkörper,auf dem Rohr,0,Versorgungsleitung,ID-23779282,,,,,,,,200,0,,200,,0,0,,VW,EWK Kirchzarten,,,,,,,,100589005,rechts,099,,2137021,Hydrant auf Leitung,,in Betrieb,,Giersbergstraße,0831506422838,0,,BP: OK ÜP: OK,0,0,,,nein,0,1780441-583467717-23779285,
47.9616331353326,7.95609810832745,269,8275245,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22756 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,13,,,8275245,,auf dem Rohr,0,Versorgungsleitung,ID-8275245,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548190,rechts,096,,749389,Hydrant auf Leitung,,in Betrieb,,Blumweg,0831506422756,0,,BP: OK ÜP: OK,0,2153805,,,nein,0,1780441-583858343-8275248,
