latitude,longitude,emergency,fire_hydrant:type,fire_hydrant:diameter,start_date
47.9755341537076,7.92481902639077,fire_hydrant,underground,50,
47.9712799264054,7.95366707158013,fire_hydrant,underground,,
47.9626659624641,7.94386742387337,fire_hydrant,underground,,2017
47.9790756240488,7.94955168160854,fire_hydrant,underground,150,
47.9792104344615,7.94868269923488,fire_hydrant,underground,125,
47.978886746617,7.94689152765763,fire_hydrant,underground,125,
47.9780764951795,7.94597720306821,fire_hydrant,pillar,,
47.9781877887842,7.94986443117013,fire_hydrant,pillar,,
47.9777669756442,7.94749393716697,fire_hydrant,pillar,,
47.9776064153391,7.94826865607628,fire_hydrant,underground,,
47.9768536017383,7.94802665561299,fire_hydrant,underground,,
47.9776177730975,7.94955692249575,fire_hydrant,pillar,,
47.9772702482094,7.94921155308251,fire_hydrant,pillar,,
47.9763250313888,7.94962006324962,fire_hydrant,underground,150,
47.9762246518066,7.94808689470515,fire_hydrant,underground,,
47.97735448718,7.94658868259713,fire_hydrant,underground,,
47.9787256862077,7.95078571760875,fire_hydrant,underground,80,2003
47.9784152494989,7.95371101680884,fire_hydrant,pillar,,
47.9787473087863,7.95482396049832,fire_hydrant,underground,,
47.9780942588566,7.95469812896844,fire_hydrant,underground,,
47.9779216376933,7.95321359453319,fire_hydrant,pillar,,
47.9777118243765,7.95233596266012,fire_hydrant,pillar,,
47.977625731506,7.95402730600281,fire_hydrant,pillar,,
47.9772613143598,7.95476497931413,fire_hydrant,underground,125,
47.977168208994,7.95399701812796,fire_hydrant,underground,125,
47.9763792473709,7.95273031804887,fire_hydrant,underground,100,2002
47.9775745254706,7.95043904126819,fire_hydrant,pillar,,
47.9761355926541,7.95209147135583,fire_hydrant,underground,,2002
47.9763462544884,7.95135773982599,fire_hydrant,pillar,,2002
47.9756654136007,7.94995145489068,fire_hydrant,underground,150,
47.9757086842564,7.95245829446612,fire_hydrant,underground,100,2002
47.9752102601901,7.95123915215202,fire_hydrant,pillar,,2002
47.9757616348967,7.95383841259761,fire_hydrant,underground,100,2002
47.974884062667,7.95354664302131,fire_hydrant,underground,100,2002
47.9752303359048,7.94846448293622,fire_hydrant,underground,100,
47.9740278898516,7.92260287330556,fire_hydrant,underground,,
47.9744628246516,7.92090569126588,fire_hydrant,underground,,
47.9743716099848,7.92147380374345,fire_hydrant,underground,,
47.9729735739133,7.9243699042219,fire_hydrant,underground,,
47.9738409916588,7.92179704037865,fire_hydrant,underground,,
47.972587541511,7.92219331796953,fire_hydrant,underground,100,
47.9727910552844,7.9216126513283,fire_hydrant,underground,,
47.971059026841,7.92549539147894,fire_hydrant,underground,100,
47.9709626900921,7.92826656262907,fire_hydrant,underground,100,
47.9690770093881,7.92717496177896,fire_hydrant,underground,100,
47.9669815490151,7.92975533346114,fire_hydrant,underground,100,
47.9671414476011,7.92541414940072,fire_hydrant,underground,,
47.9650930327738,7.93050217278852,fire_hydrant,pillar,,
47.9662698283058,7.92340476080421,fire_hydrant,underground,,
47.965907566329,7.92262092599748,fire_hydrant,underground,100,
47.9654829555356,7.92126693981282,fire_hydrant,underground,80,
47.9708445351099,7.95323768908582,fire_hydrant,underground,100,
47.9712947850544,7.95265175980964,fire_hydrant,underground,150,
47.971080348904,7.95492729507658,fire_hydrant,underground,150,
47.970248376629,7.95459589107411,fire_hydrant,underground,100,
47.9715703568875,7.95110878916926,fire_hydrant,underground,,2015
47.9710432559526,7.9510636866541,fire_hydrant,underground,100,2015
47.9703887348567,7.9507419070003,fire_hydrant,underground,100,
47.9716751080236,7.94740450600505,fire_hydrant,underground,100,2015
47.9715851336129,7.94858120969744,fire_hydrant,pillar,100,2020
47.9715866567154,7.94856183132945,fire_hydrant,underground,100,2020
47.9716291225259,7.94895384061069,fire_hydrant,underground,,2015
47.969141821531,7.94959900607574,fire_hydrant,underground,100,
47.9697272312815,7.95033255995044,fire_hydrant,underground,100,
47.9695244874739,7.95223169163782,fire_hydrant,underground,100,
47.9695103423676,7.95143399466,fire_hydrant,underground,100,
47.9688407688128,7.95232363163476,fire_hydrant,underground,100,
47.9688255925007,7.95165635336269,fire_hydrant,underground,100,
47.9686772140201,7.95512950883766,fire_hydrant,underground,100,
47.9693389957376,7.95343739868466,fire_hydrant,underground,100,
47.968712627653,7.9533775192508,fire_hydrant,underground,100,
47.9680706309722,7.9534371017829,fire_hydrant,underground,100,
47.9679811022114,7.95257693756126,fire_hydrant,underground,100,
47.9681625790833,7.95490578022938,fire_hydrant,underground,100,
47.9673913285614,7.955142760303,fire_hydrant,underground,100,
47.9670639278449,7.95406097819531,fire_hydrant,underground,100,
47.9669169951456,7.95312818394064,fire_hydrant,underground,100,
47.9684058479133,7.95100027006264,fire_hydrant,underground,100,
47.9677387482407,7.95044023254113,fire_hydrant,underground,65,
47.9675598247691,7.95132754144704,fire_hydrant,underground,100,
47.9667621460285,7.95190744701259,fire_hydrant,underground,,2022
47.9669255575983,7.95159801226028,fire_hydrant,underground,,2022
47.9655005830932,7.95207678806723,fire_hydrant,underground,80,
47.9661224028777,7.95401632613312,fire_hydrant,underground,,
47.9659591957512,7.95368110496952,fire_hydrant,underground,80,
47.9643833862038,7.95379504093069,fire_hydrant,underground,,
47.9640764053909,7.95286223510079,fire_hydrant,underground,,
47.9647296883216,7.9544858159894,fire_hydrant,underground,100,
47.9646911007221,7.95493190183202,fire_hydrant,underground,150,
47.9641004821757,7.95500084576663,fire_hydrant,underground,,
47.9634004631413,7.95489564457426,fire_hydrant,underground,,
47.963422101322,7.95392608608998,fire_hydrant,underground,,
