latitude,longitude,ref:ewk,emergency,fire_hydrant:type,fire_hydrant:diameter,start_date
47.9755341537076,7.92481902639077,8273582,fire_hydrant,underground,50,
47.9712799264054,7.95366707158013,26018296,fire_hydrant,underground,,
47.9626659624641,7.94386742387337,25936673,fire_hydrant,underground,,2017
47.9790756240488,7.94955168160854,10640550,fire_hydrant,underground,150,
47.9792104344615,7.94868269923488,9228077,fire_hydrant,underground,125,
47.978886746617,7.94689152765763,9216127,fire_hydrant,underground,125,
47.9780764951795,7.94597720306821,9215892,fire_hydrant,pillar,,
47.9781877887842,7.94986443117013,9227812,fire_hydrant,pillar,,
47.9777669756442,7.94749393716697,9216195,fire_hydrant,pillar,,
47.9776064153391,7.94826865607628,9217030,fire_hydrant,underground,,
47.9768536017383,7.94802665561299,9217736,fire_hydrant,underground,,
47.9776177730975,7.94955692249575,9228332,fire_hydrant,pillar,,
47.9772702482094,7.94921155308251,9218758,fire_hydrant,pillar,,
47.9763250313888,7.94962006324962,27394330,fire_hydrant,underground,150,
47.9762246518066,7.94808689470515,9218474,fire_hydrant,underground,,
47.97735448718,7.94658868259713,9216405,fire_hydrant,underground,,
47.9787256862077,7.95078571760875,8529768,fire_hydrant,underground,80,2003
47.9784152494989,7.95371101680884,9300664,fire_hydrant,pillar,,
47.9787473087863,7.95482396049832,9300372,fire_hydrant,underground,,
47.9780942588566,7.95469812896844,9647421,fire_hydrant,underground,,
47.9779216376933,7.95321359453319,9229671,fire_hydrant,pillar,,
47.9777118243765,7.95233596266012,9229132,fire_hydrant,pillar,,
47.977625731506,7.95402730600281,9229763,fire_hydrant,pillar,,
47.9772613143598,7.95476497931413,9230197,fire_hydrant,underground,125,
47.977168208994,7.95399701812796,9229158,fire_hydrant,underground,125,
47.9763792473709,7.95273031804887,9291222,fire_hydrant,underground,100,2002
47.9775745254706,7.95043904126819,9228536,fire_hydrant,pillar,,
47.9761355926541,7.95209147135583,9291418,fire_hydrant,underground,,2002
47.9763462544884,7.95135773982599,9291841,fire_hydrant,pillar,,2002
47.9756654136007,7.94995145489068,27394281,fire_hydrant,underground,150,
47.9757086842564,7.95245829446612,7545529,fire_hydrant,underground,100,2002
47.9752102601901,7.95123915215202,9297342,fire_hydrant,pillar,,2002
47.9757616348967,7.95383841259761,7545434,fire_hydrant,underground,100,2002
47.974884062667,7.95354664302131,7544667,fire_hydrant,underground,100,2002
47.9752303359048,7.94846448293622,9297702,fire_hydrant,underground,100,
47.9740278898516,7.92260287330556,8273189,fire_hydrant,underground,,
47.9744628246516,7.92090569126588,8506152,fire_hydrant,underground,,
47.9743716099848,7.92147380374345,8273083,fire_hydrant,underground,,
47.9729735739133,7.9243699042219,8274205,fire_hydrant,underground,,
47.9738409916588,7.92179704037865,8273316,fire_hydrant,underground,,
47.972587541511,7.92219331796953,8273873,fire_hydrant,underground,100,
47.9727910552844,7.9216126513283,8273919,fire_hydrant,underground,,
47.971059026841,7.92549539147894,8511343,fire_hydrant,underground,100,
47.9709626900921,7.92826656262907,8506228,fire_hydrant,underground,100,
47.9690770093881,7.92717496177896,8512271,fire_hydrant,underground,100,
47.9669815490151,7.92975533346114,8512380,fire_hydrant,underground,100,
47.9671414476011,7.92541414940072,8512813,fire_hydrant,underground,,
47.9650930327738,7.93050217278852,8513311,fire_hydrant,pillar,,
47.9662698283058,7.92340476080421,8513037,fire_hydrant,underground,,
47.965907566329,7.92262092599748,8513140,fire_hydrant,underground,100,
47.9654829555356,7.92126693981282,8513171,fire_hydrant,underground,80,
47.9708445351099,7.95323768908582,8227425,fire_hydrant,underground,100,
47.9712947850544,7.95265175980964,8169402,fire_hydrant,underground,150,
47.971080348904,7.95492729507658,9386802,fire_hydrant,underground,150,
47.970248376629,7.95459589107411,21194813,fire_hydrant,underground,100,
47.9715703568875,7.95110878916926,25096601,fire_hydrant,underground,,2015
47.9710432559526,7.9510636866541,25097680,fire_hydrant,underground,100,2015
47.9703887348567,7.9507419070003,8201204,fire_hydrant,underground,100,
47.9716751080236,7.94740450600505,27503935,fire_hydrant,underground,100,2015
47.9715851336129,7.94858120969744,27376105,fire_hydrant,pillar,100,2020
47.9715866567154,7.94856183132945,27376113,fire_hydrant,underground,100,2020
47.9716291225259,7.94895384061069,25096682,fire_hydrant,underground,,2015
47.969141821531,7.94959900607574,8201291,fire_hydrant,underground,100,
47.9697272312815,7.95033255995044,8201235,fire_hydrant,underground,100,
47.9695244874739,7.95223169163782,8207934,fire_hydrant,underground,100,
47.9695103423676,7.95143399466,8201268,fire_hydrant,underground,100,
47.9688407688128,7.95232363163476,8229345,fire_hydrant,underground,100,
47.9688255925007,7.95165635336269,8228077,fire_hydrant,underground,100,
47.9686772140201,7.95512950883766,8209311,fire_hydrant,underground,100,
47.9693389957376,7.95343739868466,8170913,fire_hydrant,underground,100,
47.968712627653,7.9533775192508,8170549,fire_hydrant,underground,100,
47.9680706309722,7.9534371017829,8170443,fire_hydrant,underground,100,
47.9679811022114,7.95257693756126,8207181,fire_hydrant,underground,100,
47.9681625790833,7.95490578022938,8199717,fire_hydrant,underground,100,
47.9673913285614,7.955142760303,8199257,fire_hydrant,underground,100,
47.9670639278449,7.95406097819531,8171356,fire_hydrant,underground,100,
47.9669169951456,7.95312818394064,8199045,fire_hydrant,underground,100,
47.9684058479133,7.95100027006264,8228497,fire_hydrant,underground,100,
47.9677387482407,7.95044023254113,8228938,fire_hydrant,underground,65,
47.9675598247691,7.95132754144704,24640426,fire_hydrant,underground,100,
47.9667621460285,7.95190744701259,27898635,fire_hydrant,underground,,2022
